bank_name,reporting_date,demand_deposit_rate,savings_deposit_rate,time_deposit_rate
ACCESS BANK,2026-01-02,,,
ALPHA MORGAN BANK,2026-01-02,0.49,8.1,15.0
CITI BANK,2026-01-02,,8.1,18.0
CORONATION MERCHANT BANK,2026-01-02,1.55,8.1,7.8
ECOBANK,2026-01-02,,,16.59
FBN QUEST MERCHANT BANK,2026-01-02,1.1,5.9,9.9
FCMB,2026-01-02,,,10.57
FIDELITY BANK,2026-01-02,0.5,4.25,13.0
FIRST BANK OF NIGERIA,2026-01-02,0.5,8.1,10.0
FSDH MERCHANT BANK,2026-01-02,,8.25,11.05
GLOBUS BANK LTD,2026-01-02,0.5,,17.0
GREENWICH MERCHANT BANK,2026-01-02,0.01,8.18,15.7
GUARANTY TRUST BANK,2026-01-02,14.0,,18.0
KEYSTONE BANK LTD,2026-01-02,1.0,8.1,8.0
NOVA BANK,2026-01-02,1.3,8.1,19.43
OPTIMUS BANK,2026-01-02,,8.0,16.05
PARALLEX BANK,2026-01-02,9.42,8.1,11.82
POLARIS BANK,2026-01-02,,8.1,12.7
PREMIUM TRUST BANK,2026-01-02,,8.1,10.5
PROVIDUS BANK,2026-01-02,,8.1,15.0
RAND MERCHANT BANK NIG. LTD,2026-01-02,2.5,8.1,16.0
SIGNATURE BANK,2026-01-02,0.19,,17.36
STANBIC IBTC,2026-01-02,,8.1,12.84
STANDARD CHARTERED BANK,2026-01-02,0.07,2.7,13.09
STERLING BANK,2026-01-02,,8.1,12.54
SUNTRUST BANK,2026-01-02,0.33,8.1,16.21
TATUM BANK,2026-01-02,,8.1,16.2
UNITED BANK FOR AFRICA,2026-01-02,,8.1,15.83
UNION BANK,2026-01-02,0.04,8.1,14.75
UNITY BANK,2026-01-02,2.5,8.1,14.5
WEMA BANK,2026-01-02,4.5,8.1,10.0
ZENITH BANK,2026-01-02,1.52,8.1,10.53
ACCESS BANK,2026-01-09,,,
ALPHA MORGAN BANK,2026-01-09,0.48,8.1,15.3
CITI BANK,2026-01-09,,8.1,18.0
CORONATION MERCHANT BANK,2026-01-09,1.55,8.1,7.8
ECOBANK,2026-01-09,,,15.87
FBN QUEST MERCHANT BANK,2026-01-09,1.1,5.9,9.9
FCMB,2026-01-09,,,10.03
FIDELITY BANK,2026-01-09,0.3,4.25,13.0
FIRST BANK OF NIGERIA,2026-01-09,0.5,8.1,10.0
FSDH MERCHANT BANK,2026-01-09,,8.25,11.05
GLOBUS BANK LTD,2026-01-09,0.5,,19.0
GREENWICH MERCHANT BANK,2026-01-09,0.01,8.18,15.71
GUARANTY TRUST BANK,2026-01-09,14.0,,18.0
KEYSTONE BANK LTD,2026-01-09,1.0,8.1,8.0
NOVA BANK,2026-01-09,1.3,8.1,18.99
OPTIMUS BANK,2026-01-09,,8.0,16.05
PARALLEX BANK,2026-01-09,7.33,8.1,9.04
POLARIS BANK,2026-01-09,,8.1,12.7
PREMIUM TRUST BANK,2026-01-09,,8.1,10.5
PROVIDUS BANK,2026-01-09,,8.1,15.0
RAND MERCHANT BANK NIG. LTD,2026-01-09,2.5,8.1,16.0
SIGNATURE BANK,2026-01-09,0.18,,17.69
STANBIC IBTC,2026-01-09,,8.1,12.85
STANDARD CHARTERED BANK,2026-01-09,0.14,2.7,12.4
STERLING BANK,2026-01-09,,8.1,12.61
SUNTRUST BANK,2026-01-09,0.33,8.1,16.21
TATUM BANK,2026-01-09,,8.1,16.1
UNITED BANK FOR AFRICA,2026-01-09,,8.1,15.83
UNION BANK,2026-01-09,0.04,8.1,14.75
UNITY BANK,2026-01-09,2.5,8.1,14.5
WEMA BANK,2026-01-09,4.5,8.1,10.0
ZENITH BANK,2026-01-09,1.52,8.1,10.61
ACCESS BANK,2026-01-16,,,
ALPHA MORGAN BANK,2026-01-16,0.48,8.1,15.0
CITI BANK,2026-01-16,,8.1,18.0
CORONATION MERCHANT BANK,2026-01-16,1.55,8.1,7.8
ECOBANK,2026-01-16,,,14.74
FBN QUEST MERCHANT BANK,2026-01-16,1.1,6.0,10.2
FCMB,2026-01-16,,,9.84
FIDELITY BANK,2026-01-16,0.36,4.25,13.0
FIRST BANK OF NIGERIA,2026-01-16,0.5,8.1,10.0
FSDH MERCHANT BANK,2026-01-16,,8.25,11.05
GLOBUS BANK LTD,2026-01-16,0.5,,18.0
GREENWICH MERCHANT BANK,2026-01-16,0.01,8.18,15.69
GUARANTY TRUST BANK,2026-01-16,14.0,,18.0
KEYSTONE BANK LTD,2026-01-16,1.0,8.1,8.0
NOVA BANK,2026-01-16,0.35,8.1,19.31
OPTIMUS BANK,2026-01-16,,8.0,15.81
PARALLEX BANK,2026-01-16,7.33,8.1,9.04
POLARIS BANK,2026-01-16,,8.1,12.7
PREMIUM TRUST BANK,2026-01-16,,8.1,10.5
PROVIDUS BANK,2026-01-16,,8.1,15.0
RAND MERCHANT BANK NIG. LTD,2026-01-16,2.5,8.1,16.0
SIGNATURE BANK,2026-01-16,1.59,,17.87
STANBIC IBTC,2026-01-16,,8.01,12.85
STANDARD CHARTERED BANK,2026-01-16,0.09,2.7,11.26
STERLING BANK,2026-01-16,,8.1,12.98
SUNTRUST BANK,2026-01-16,0.33,8.1,16.21
TATUM BANK,2026-01-16,,8.1,16.1
UNITED BANK FOR AFRICA,2026-01-16,,8.1,15.73
UNION BANK,2026-01-16,0.04,8.1,14.75
UNITY BANK,2026-01-16,2.5,8.1,14.5
WEMA BANK,2026-01-16,4.5,8.1,10.0
ZENITH BANK,2026-01-16,1.52,8.1,10.7
ACCESS BANK,2026-01-23,,,
ALPHA MORGAN BANK,2026-01-23,0.6,8.1,15.0
CITI BANK,2026-01-23,,8.1,18.0
CORONATION MERCHANT BANK,2026-01-23,1.55,8.1,7.8
ECOBANK,2026-01-23,,,15.07
FBN QUEST MERCHANT BANK,2026-01-23,1.1,5.9,9.9
FCMB,2026-01-23,,,8.5
FIDELITY BANK,2026-01-23,0.46,4.25,13.0
FIRST BANK OF NIGERIA,2026-01-23,0.5,8.1,10.0
FSDH MERCHANT BANK,2026-01-23,,8.25,11.05
GLOBUS BANK LTD,2026-01-23,0.5,,18.5
GREENWICH MERCHANT BANK,2026-01-23,0.01,8.18,15.64
GUARANTY TRUST BANK,2026-01-23,14.0,,18.0
KEYSTONE BANK LTD,2026-01-23,1.0,8.1,8.0
NOVA BANK,2026-01-23,0.35,8.1,21.19
OPTIMUS BANK,2026-01-23,,8.0,15.32
PARALLEX BANK,2026-01-23,7.33,8.1,9.04
POLARIS BANK,2026-01-23,,8.1,12.7
PREMIUM TRUST BANK,2026-01-23,,8.1,10.5
PROVIDUS BANK,2026-01-23,,8.1,15.0
RAND MERCHANT BANK NIG. LTD,2026-01-23,2.5,8.1,16.0
SIGNATURE BANK,2026-01-23,0.22,,18.05
STANBIC IBTC,2026-01-23,,8.01,12.94
STANDARD CHARTERED BANK,2026-01-23,0.09,2.7,12.18
STERLING BANK,2026-01-23,,8.1,13.11
SUNTRUST BANK,2026-01-23,0.33,8.1,16.21
TATUM BANK,2026-01-23,,8.1,16.1
UNITED BANK FOR AFRICA,2026-01-23,,8.1,15.74
UNION BANK,2026-01-23,0.04,8.1,14.75
UNITY BANK,2026-01-23,2.5,8.1,14.5
WEMA BANK,2026-01-23,4.5,8.1,10.0
ZENITH BANK,2026-01-23,1.52,8.1,10.64
ACCESS BANK,2026-01-30,,,
ALPHA MORGAN BANK,2026-01-30,0.6,8.1,15.0
CITI BANK,2026-01-30,,8.1,18.0
CORONATION MERCHANT BANK,2026-01-30,1.55,8.1,7.8
ECOBANK,2026-01-30,,,15.93
FBN QUEST MERCHANT BANK,2026-01-30,1.1,6.0,10.2
FCMB,2026-01-30,,,8.47
FIDELITY BANK,2026-01-30,0.51,4.25,13.0
FIRST BANK OF NIGERIA,2026-01-30,0.5,8.1,10.0
FSDH MERCHANT BANK,2026-01-30,,8.25,11.05
GLOBUS BANK LTD,2026-01-30,0.5,,18.5
GREENWICH MERCHANT BANK,2026-01-30,0.01,8.18,15.64
GUARANTY TRUST BANK,2026-01-30,14.0,,18.0
KEYSTONE BANK LTD,2026-01-30,1.0,8.1,8.0
