bank_name,sector,prime_rate,max_rate,reporting_date
ACCESS BANK,"AGRICULTURE, FORESTRY AND FISHING",,,2026-01-02
ALPHA MORGAN BANK,"AGRICULTURE, FORESTRY AND FISHING",25.5,32.0,2026-01-02
CITI BANK,"AGRICULTURE, FORESTRY AND FISHING",,,2026-01-02
CORONATION MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",19.5,24.0,2026-01-02
ECOBANK,"AGRICULTURE, FORESTRY AND FISHING",24.0,24.0,2026-01-02
FBN QUEST MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",26.75,35.0,2026-01-02
FCMB,"AGRICULTURE, FORESTRY AND FISHING",23.0,23.0,2026-01-02
FIDELITY BANK,"AGRICULTURE, FORESTRY AND FISHING",31.0,46.1,2026-01-02
FIRST BANK OF NIGERIA,"AGRICULTURE, FORESTRY AND FISHING",30.0,36.0,2026-01-02
FSDH MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",26.0,36.0,2026-01-02
GLOBUS BANK LTD,"AGRICULTURE, FORESTRY AND FISHING",28.0,28.0,2026-01-02
GREENWICH MERCHANT BANK,"AGRICULTURE, FORESTRY AND FISHING",31.0,33.0,2026-01-02
GUARANTY TRUST BANK,"AGRICULTURE, FORESTRY AND FISHING",27.0,30.0,2026-01-02
KEYSTONE BANK LTD,"AGRICULTURE, FORESTRY AND FISHING",22.0,29.0,2026-01-02
NOVA BANK,"AGRICULTURE, FORESTRY AND FISHING",30.5,36.0,2026-01-02
OPTIMUS BANK,"AGRICULTURE, FORESTRY AND FISHING",30.0,31.38,2026-01-02
PARALLEX BANK,"AGRICULTURE, FORESTRY AND FISHING",28.5,35.0,2026-01-02
POLARIS BANK,"AGRICULTURE, FORESTRY AND FISHING",30.0,32.5,2026-01-02
PREMIUM TRUST BANK,"AGRICULTURE, FORESTRY AND FISHING",29.0,36.0,2026-01-02
PROVIDUS BANK,"AGRICULTURE, FORESTRY AND FISHING",28.0,33.0,2026-01-02
RAND MERCHANT BANK NIG. LTD,"AGRICULTURE, FORESTRY AND FISHING",27.0,35.0,2026-01-02
SIGNATURE BANK,"AGRICULTURE, FORESTRY AND FISHING",22.0,22.0,2026-01-02
STANBIC IBTC,"AGRICULTURE, FORESTRY AND FISHING",,,2026-01-02
STANDARD CHARTERED BANK,"AGRICULTURE, FORESTRY AND FISHING",1.0,60.0,2026-01-02
STERLING BANK,"AGRICULTURE, FORESTRY AND FISHING",23.0,26.0,2026-01-02
SUNTRUST BANK,"AGRICULTURE, FORESTRY AND FISHING",27.5,35.0,2026-01-02
TATUM BANK,"AGRICULTURE, FORESTRY AND FISHING",22.0,34.0,2026-01-02
UNITED BANK FOR AFRICA,"AGRICULTURE, FORESTRY AND FISHING",,,2026-01-02
UNION BANK,"AGRICULTURE, FORESTRY AND FISHING",28.5,32.0,2026-01-02
UNITY BANK,"AGRICULTURE, FORESTRY AND FISHING",24.0,34.0,2026-01-02
WEMA BANK,"AGRICULTURE, FORESTRY AND FISHING",9.0,38.0,2026-01-02
ZENITH BANK,"AGRICULTURE, FORESTRY AND FISHING",32.5,30.5,2026-01-02
ACCESS BANK,MINING & QUARRYING,,,2026-01-02
ALPHA MORGAN BANK,MINING & QUARRYING,,,2026-01-02
CITI BANK,MINING & QUARRYING,,,2026-01-02
CORONATION MERCHANT BANK,MINING & QUARRYING,19.5,24.0,2026-01-02
ECOBANK,MINING & QUARRYING,9.0,9.0,2026-01-02
FBN QUEST MERCHANT BANK,MINING & QUARRYING,26.75,26.75,2026-01-02
